order-id	order-item-id	quantity	ship-date	carrier-code	carrier-name	tracking-number	ship-method	
570000000001000000			2026-06-26	Correos		PKA9TP980000020000A	PAQ PREMIUM
570000000001000037			2026-06-26	Correos		PKA9TP980000020011B	PAQ PREMIUM
570000000001000074			2026-06-26	Correos		PKA9TP980000020022C	PAQ PREMIUM
570000000001000111			2026-06-26	Correos		PKA9TP980000020033D	PAQ PREMIUM
570000000001000148			2026-06-26	Correos		PKA9TP980000020044E	PAQ PREMIUM
570000000001000185			2026-06-26	Correos		PKA9TP980000020055F	PAQ PREMIUM
570000000001000222			2026-06-26	Correos		PKA9TP980000020066G	PAQ PREMIUM
570000000001000259			2026-06-26	Correos		PKA9TP980000020077H	PAQ PREMIUM
570000000001000296			2026-06-26	Correos		PKA9TP980000020088J	PAQ PREMIUM
570000000001000333			2026-06-26	Correos		PKA9TP980000020099K	PAQ PREMIUM
570000000001000370			2026-06-26	Correos		PKA9TP980000020110M	PAQ PREMIUM
570000000001000407			2026-06-26	Correos		PKA9TP980000020121N	PAQ PREMIUM
570000000001000444			2026-06-26	Correos		PKA9TP980000020132P	PAQ PREMIUM
570000000001000481			2026-06-26	Correos		PKA9TP980000020143Q	PAQ PREMIUM
570000000001000518			2026-06-26	Correos		PKA9TP980000020154R	PAQ PREMIUM
570000000001000555			2026-06-26	Correos		PKA9TP980000020165S	PAQ PREMIUM
570000000001000592			2026-06-26	Correos		PKA9TP980000020176T	PAQ PREMIUM
570000000001000629			2026-06-26	Correos		PKA9TP980000020187U	PAQ PREMIUM
570000000001000666			2026-06-26	Correos		PKA9TP980000020198V	PAQ PREMIUM
570000000001000703			2026-06-26	Correos		PKA9TP980000020209W	PAQ PREMIUM
570000000001000740			2026-06-26	Correos		PKA9TP980000020220X	PAQ PREMIUM
570000000001000777			2026-06-26	Correos		PKA9TP980000020231Y	PAQ PREMIUM
570000000001000814			2026-06-26	Correos		PKA9TP980000020242Z	PAQ PREMIUM
570000000001000851			2026-06-26	Correos		PKA9TP980000020253A	PAQ PREMIUM
570000000001000888			2026-06-26	Correos		PKA9TP980000020264B	PAQ PREMIUM
570000000001000925			2026-06-26	Seur	SEUR	PKA9TP980000020275C	PAQ PREMIUM
570000000001000962			2026-06-26	MRW	mrw	PKA9TP980000020286D	PAQ PREMIUM
570000000001000999			2026-06-26	GLS	gls	PKA9TP980000020297E	PAQ PREMIUM
